"Name","Profession","Company","Food and beverage category","Brands","Ethnicity","Age","Links","Notes"
"Rublin, Dave ""American Authors""","Musician","Unilever","SSB","Lipton Iced Tea","WFE","29.0","https://www.ispot.tv/ad/7aT2/lipton-sparkling-iced-tea-tiny-bubbles-song-by-american-authors","NA"
"Rucker, Darius","Musician","Restaurant Brands International Inc.","QSR","Burger King","BME","49.0","https://images.search.yahoo.com/images/view;_ylt=AwrB8pjmOYxVKEAAZd4unIlQ;_ylu=X3oDMTIyZjAxY2EzBHNlYwNzcgRzbGsDaW1nBG9pZANkNTU1ZDg3NmVhNDA1M2VkNzgwZTllMWEyOGQ3ZDBlMQRncG9zAzMEaXQDYmluZw--?.origin=&back=https%3A%2F%2Fimages.search.yahoo.com%2Fyhs%2Fsearch%3Fp%3Ddarius%2Brucker%2Band%2Bburger%2Bking%26fr%3Dyhs-mozilla-002%26fr2%3Dpiv-web%26hsimp%3Dyhs-002%26hspart%3Dmozilla%26tab%3Dorganic%26ri%3D3&w=330&h=193&imgurl=www.wnd.com%2Fimages2%2FhootieBK.jpg&rurl=http%3A%2F%2Fwww.wnd.com%2F2005%2F07%2F31516%2F&size=91.8KB&name=%3Cb%3Edarius%3C%2Fb%3E+%3Cb%3Erucker%3C%2Fb%3E+aka+hootie+of+hootie+and+the+blowfish+sings+%3Cb%3Eburger%3C%2Fb%3E+%3Cb%3Eking%3C%2Fb%3E+...&p=darius+rucker+and+burger+king&oid=d555d876ea4053ed780e9e1a28d7d0e1&fr2=piv-web&fr=yhs-mozilla-002&tt=%3Cb%3Edarius%3C%2Fb%3E+%3Cb%3Erucker%3C%2Fb%3E+aka+hootie+of+hootie+and+the+blowfish+sings+%3Cb%3Eburger%3C%2Fb%3E+%3Cb%3Eking%3C%2Fb%3E+...&b=0&ni=21&no=3&ts=&tab=organic&sigr=111s06et3&sigb=14naadlqm&sigi=1109dole9&sigt=135491u55&sign=135491u55&.crumb=0M2.3jhAHLm&fr=yhs-mozilla-002&fr2=piv-web&hsimp=yhs-002&hspart=mozilla","NA"
"Sabara, Daryl","Actor","Milk PEP","Dairy","Got Milk","WME","23.0","http://www.bambootrading.com/1700-1/1700-40.JPG","NA"
"Sanchez, Matt ""American Authors""","Musician","Unilever","SSB","Lipton Iced Tea","WME","30.0","https://www.ispot.tv/ad/7aT2/lipton-sparkling-iced-tea-tiny-bubbles-song-by-american-authors","NA"
"Saralegui, Cristina ","TV personality","Nestle","Water","Nestle Pure Life","WFE","68.0","http://hispanicprwire.com/en/nestle-r-pure-life-r-better-habits-for-a-better-life-campaign-encourages-latinos-to-live-a-healthy-lifestyle-one-sip-at-a-time/","NA"
"Saralegui, Cristina ","TV personality","PHA","Water","Drink UP Campaign","WFE","68.0","https://www.youtube.com/watch?v=aO_nAHiGYRQ","NA"
"Scott, Hillary ""Lady Antebellum""","Musician","Unilever","SSB","Lipton Iced Tea","WFE","30.0","https://www.youtube.com/watch?v=39cPFjM-hi4","NA"
"Seacrest, Ryan","TV Personality","TCCC","SSB","Coca-Cola","WME","40.0","http://www.coca-colacompany.com/coca-cola-unbottled/ryan-seacrest-foundation-flashback-with-coca-cola","NA"
"Sereba, Nico ""Nico & Vinz""","Musician","Nestle","SSB","Nestea","BFE","24.0","https://www.youtube.com/watch?v=g-c64vrQdg8","NA"
"Shaffer, Paul","Musician","Milk PEP","Dairy","Got Milk","WME","65.0","http://file.vintageadbrowser.com/xv6pbghuufrlql.jpg","NA"
"Shelley, James Adam ""American Authors""","Musician","Unilever","SSB","Lipton Iced Tea","WME","33.0","https://www.ispot.tv/ad/7aT2/lipton-sparkling-iced-tea-tiny-bubbles-song-by-american-authors","NA"
"Shelton, Blake ","Musician","PepsiCo","SSB","Pepsi","WME","39.0","http://www.huffingtonpost.com/entry/celebrities-endorse-unhealthy-foods_us_57559f8ce4b0ed593f14f7b28","NA"
"Shelton, Blake ","Musician","Yum! Brands","QSR","Pizza Hut","WME","39.0","http://www.huffingtonpost.com/entry/celebrities-endorse-unhealthy-foods_us_57559f8ce4b0ed593f14f7b29","NA"
"Shields, Brooke","Actress","Milk PEP","Dairy","Got Milk","WFE","50.0","http://assets.nydailynews.com/polopoly_fs/1.1701082!/img/httpImage/image.jpg_gen/derivatives/gallery_1200/brooke-shields-2008.jpg","NA"
"Simmons, Gene","Musician","Milk PEP","Dairy","Got Milk","WME","66.0","http://www.kissdominion.com/gotmilk.jpg","NA"
"Simmons, Gene","Musician","Dr Pepper Snapple Group","SSB","Dr Pepper","WME","66.0","https://www.youtube.com/watch?v=yv6qRO7uwnY","NA"
"Simpson, Ashlee","Musician","The Hershey Company","Candy","Reese's","WFE","30.0","http://media.onsugar.com/files/2010/01/04/3/192/1922398/7ad704db2e9c939f_ashlee-simpson.jpg","NA"
